SatzID	Verb	Satz	Annotator A	Annotator B	Annotator C	Annotator D	Annotator E	Annotator F	Annotator G	Annotator H	Annotator I	Annotator J	
tueba-s1743-3	schreiben	' Dies soll aus Sicherheitsgründen vermieden werden', schrieb die Werbeagentur weiter.	78962	*	*	*	*	*	*	*	78962	*	
tueba-s2198-0	gehören	Während Bjerg und Evers zu der Generation von abgebrochenen Germanistikstudenten gehören, die seit Anfang der 90er Jahre im Umfeld von Dr. Seltsam ausprobieren, wie man als Schreiber von lustiger Kürzestprosa ein Popstar werden kann, ist Maurenbrecher eigentlich ein Liedermacher.	*	*	*	*	*	73590	*	*	76513	*	
tueba-s2337-0	schreiben	Auf der Debattenseite der taz schrieb er zuletzt am 29. 3. über die Fehler der deutschen und europäischen Jugoslawienpolitik in den 90er Jahren.	78962	*	*	*	*	*	*	*	78962	*	
tueba-s2634-3	sagen	' Früher dachten alle, wir haben das große Los gezogen', sagt Claus Neumann, ein breitschultriger Mittfünfziger mit einem sorgfältig gestutztem Vollbart, der in den letzten Tagen viel Sonne abbekommen haben muß.	73759	*	*	*	*	*	78741	*	78741	*	
tueba-s3492-1	ertragen	Doch das ist mehr emotionale Nähe, als Billy ertragen kann.	77454	*	74518	*	*	*	*	*	74518	*	
tueba-s3651-2	finden	Sie will das Leben ausprobieren, sich selbst finden; wie so viele in dieser Zeit.	129657	82307	*	*	*	*	*	*	129655	*	
tueba-s3793-3	machen	Bei' Funny Bones'- Regisseur Peter Chelsom darf( oder muß?) sich die ZuschauerIn wie ein Kleinkind fühlen; genauer: Wie eine SchülerIn, der mit gewieftesten didaktischen Tricks begreiflich gemacht wird, um was es im Leben geht.	85607	*	*	*	*	*	*	*	78519	*	
tueba-s4069-1	leben	Es ist eine Tatsache, daß die größte kosovo-albanische Gemeinschaft außerhalb Jugoslawiens seit den Gastarbeiterverträgen Ende der sechziger Jahre hier in Deutschland lebt.	*	*	*	*	*	73313	*	*	73313	*	
tueba-s4694-0	stellen	Unter den Überlebenden auch die sechs Zeugen, die sich dem Film von Mona Botros nun zur Verfügung stellen.	*	80813	*	*	*	*	80844	*	80844	*	
tueba-s4818-1	ändern	Daß ein Tag kaum ausreicht, um das zu ändern, ist auch Rangnick klar.	*	84160	*	*	*	*	*	*	84160	*	
tueba-s6269-2	passieren	Da habe ich mitbekommen, was passierte, wenn ein Albaner nicht macht, was die Serben von ihm verlangten.	*	*	*	*	*	*	*	73392	73392	*	
tueba-s6386-3	lassen	Ich kann mir vorstellen, daß er dort putschen läßt.	*	109388	*	*	*	*	*	*	109388	*	
tueba-s6754-1	mögen	Viele Menschen halten, wie ich, den Krieg für ein ungeeignetes Mittel zur Konfliktlösung und möchten, daß er so schnell wie möglich beendet wird.	*	*	*	*	*	*	*	73584	74626	*	
tueba-s6812-1	machen	' Ich hatte gerade ein paar Fotos gemacht, als sie zusammenbrach.	78519	*	*	*	*	*	*	*	82751	*	
tueba-s7001-1	machen	Doch auf dem Weg dorthin kommt ihm die aufgedrehte Sarah( Sandra Bullock) sowie einige Naturkatastrophen in die Quere, die dem Filmtitel Auf die stürmische Art alle Ehre machen.	*	*	*	*	*	*	*	82751	73302	*	
tueba-s7104-0	glauben	Wir glauben an die totale Gegenwart und tun hier und jetzt alles, was wir können.'	78334	*	*	*	*	*	77245	77229	77229	*	
tueba-s7954-1	schreiben	Uns hängt es nämlich auch zum Hals heraus, den ganzen Frühling über Ullrichs vereiterte Weisheitszähne oder verschleimten Bronchien schreiben zu müssen.	82842	*	*	*	*	*	*	*	78962	*	
tueba-s9494-1	erreichen	Jackson konnte die Freilassung der drei seit einem Monat gefangenen US-Soldaten nur erreichen, wenn er nicht als Emissär des Washingtoner Oberbefehlshabers in Belgrad erscheint.	*	*	*	*	*	*	80437	76356	76356	*	
tueba-s9566-0	gehören	So gehören die Nebenjobber nicht unbedingt zu den Hochverdienern, es scheint, als hätte der' böse' Abgabenstaat mit der Neuregelung der 630-Mark-Jobs wie immer nur die Kleinen getroffen- beispielsweise, wenn jetzt Verkäuferinnen mit Nebenjob gut 200 Mark monatlich weniger in der Tasche haben.	*	*	*	*	*	*	73590	*	76513	*	
tueba-s10855-1	ermöglichen	Die im weitesten Sinne gemeinnützige, öffentlich-private Mischökonomie umfaßt ein breites Spektrum: von den alten Organisationen wie Caritas und Paritätischem Wohlfahrtsverband bis zu den modernen' sozialen Betrieben', die Arbeitslosen eine teilweise staatlich finanzierte Existenzgründung ermöglichen.	82764	*	*	*	*	*	*	*	76087	*	
tueba-s11094-1	lernen	Besonders erboste die Freiburger InternationalistInnen eine Presseerklärung von Germanwatch mit dem plakativen Titel' Von Abs lernen'.	77485	*	*	*	*	*	*	*	77485	*	
tueba-s11149-3	lernen	So kommt es, daß ausgerechnet die linke Intelligenz nicht weiterweiß, denn sie hat bereits so viel gelernt und hat so viel damit zu tun, am Gelernten festzuhalten, daß sie nicht weiß, wie sie es bewerkstelligen soll, in dieser neuen Situation wieder etwas zu lernen.	*	*	*	*	*	*	77485	*	77499	*	
tueba-s11160-2	lernen	Wir können uns diese linke Politik, die glaubt, alle Lektionen bereits gelernt zu haben, und unfähig ist, rasch, verläßlich und vielleicht sogar reflektiert neu zu lernen, in der Weltgesellschaft nicht mehr leisten.	*	*	*	*	*	*	77499	*	77499	*	
tueba-s11185-2	lernen	Unsere Politiker sind warm, denn sie müssen nicht mehr lernen, sondern nur noch dem Richtigen zum Durchbruch verhelfen.	77485	*	*	*	*	*	*	77485	77485	*	
tueba-s12215-1	machen	Der Züricher' Tages-Anzeiger' kommentiert die europäische Diplomatie im Kosovo-Konflikt: Zwar machen europäische Politiker reihenweise ihre Aufwartung bei Slobodan Miloevic.	75583	87005	*	*	*	*	*	82751	82751	*	
tueba-s12506-2	wählen	Ein freundlicher, nicht mehr ganz junger Mann nimmt ihre Wahlbroschüre und versichert ihr, daß er sein ganzes Leben lang Labour gewählt habe und es auch am kommenden Donnerstag zu tun gedenke.	*	*	*	*	*	75365	*	*	75365	*	
tueba-s13587-2	installieren	Nach dem Ende der Ära Gmelin wurden verschiedene Konzepte entwickelt, eine neue Leitung für die seit über einem halben Jahrhundert alte Bühne in Pöseldorf zu installieren.	*	*	*	*	*	80056	*	*	80056	*	
tueba-s14607-2	scheinen	Der eine hat seinen Namen beim anderen bloß geliehen, doch scheint es sich in beiden Fällen um ein Pseudonym zu handeln.	*	*	*	*	*	*	73621	*	73621	*	
tueba-s14865-0	funktionieren	Das Psychogrammhafte, schon immer Vorliebe und Stärke der Trotta, funktioniert dank der hervorragenden Darsteller ausgezeichnet.	*	*	*	*	*	76753	*	*	73503	*	
tueba-s15116-1	machen	taz: Was wollen Sie anders machen als Ihr Vorgänger Erhard Laube?	*	78519	*	*	*	85607	*	*	78519	*	
tueba-s15156-1	wählen	Schon als Lehrling wurde er zum Jugendvertreter der Gewerkschaft gewählt, doch die Bank, in der er ausgebildet wurde, übernahm ihn deshalb nicht.	*	*	*	*	*	75365	*	*	75365	*	
tueba-s15163-1	wählen	Als stellvertretender Vorsitzender wurden Dieter Haase, Rose-Marie Seggelke und Sanem Kleff gewählt.	*	*	*	*	*	*	75365	*	75365	*	
tueba-s16674-2	schützen	Zu den Zielen der Sanierung gehört es nach Angaben der Stadtentwicklungsbehörde, preiswerten Wohnraum zu sichern und die BewohnerInnen vor einer Verdrängung zu schützen.	*	79748	*	*	*	*	*	*	76018	*	
tueba-s16767-1	machen	Raaschs Anliegen ist es,' das P in unserem Namen, die Politik, stärker sichtbar zu machen'.	78519	*	*	*	*	*	*	*	87005	*	
tueba-s16938-0	funktionieren	Stielikes System funktioniert aber nur bei hohem Tempo sowohl in der Offensive als auch in der Defensive, wenn getrödelt wird, fällt sofort auf, daß es der Mannschaft an echten Weltklassespielern auf den wichtigen Positionen gebricht.	*	*	*	*	*	*	73501	*	73503	*	
tueba-s17602-0	geben	' Es gab Teilnehmer, die Umsatzzahlen gelernt haben.	*	*	*	*	*	*	*	73264	73264	*	
tueba-s17805-0	finden	Sie findet eine Halbtagsstelle, beantragt ein behindertengerechtes Auto und macht den Führerschein dafür nach.	77553	82307	*	*	*	*	*	*	77553	*	
tueba-s18075-0	gehören	Sogar Europa-Fan Helmut Kohl gehörte in Amsterdam auf Druck der Bundesländer eher zu den Zögerern.	*	*	*	*	*	*	*	73590	73590	*	
tueba-s19076-3	schreiben	Wir sind nun mal ganz exponierte Vertreter dieses Staates, der von vielen nicht geliebt ist, die sich auf die Fahnen schreiben' Abschaffung und Überwindung des Systems'.	82842	*	*	*	*	*	*	*	78687	*	
tueba-s19086-6	versuchen	Wenn sich irgend etwas abzeichnet, Vermummung angelegt wird oder Transparente zur seitlichen Absicherung genommen werden, werden wir versuchen, mit einem Gespräch und nicht gleich mit Brachialgewalt ranzugehen.	*	*	*	*	*	*	112506	*	112506	*	
tueba-s19215-0	brauchen	Den Villenverkauf brauchen wir, um den wissenschaftlichen Nachwuchs zu bezahlen.	*	85724	*	*	*	*	*	*	85727	*	
tueba-s19247-0	geben	Es gibt in der Universität keinen Fraktionszwang.	*	73264	73264	*	*	*	*	*	73264	*	
tueba-s21462-1	wohnen	Die Aufgabe von' pflegen & wohnen' sei es, alle Flüchtlinge aufzunehmen, die nach Hamburg kommen.	73312	*	*	*	*	*	*	*	73312	*	
tueba-s21927-0	versuchen	Drei Tage lang versuchte Joergensen mit Hilfe zweier Albaner den Inhalt des Videos auf seinen Wahrheitsgehalt hin zu überprüfen.	*	*	*	*	*	*	*	112506	112506	*	
tueba-s21997-0	glauben	Petrovic glaubt, der Job des Saubermachers erfordert einiges psychologisches Geschick.	77245	*	*	*	*	*	*	77245	77245	*	
tueba-s22330-2	wohnen	' Überlegen Sie, ob Sie nicht Platz haben, um eine oder mehrere Personen bei sich wohnen zu lassen.'	*	73329	*	*	*	*	*	*	73312	*	
tueba-s23567-0	versuchen	Neben signifikanten Erscheinungen des Amerika der dreißiger und vierziger Jahre wie etwa die Macht der Autos, die Schablonisierung des Menschen, der immer verzweifelter versucht, seinen Produkten zu ähneln, ist das Fernsehen für den Gast aus Europa eine beängstigend neue Erfahrung.	*	*	*	*	*	*	112506	*	112506	*	
tueba-s23735-3	benötigen	Um ein Signal für umweltbewußtes Handeln zu setzen, sollten die Abgeordneten auf den Diesel-Golf umsteigen, der 5,5 Liter Kraftstoff auf 100 Kilometer benötige.	77379	*	*	*	*	*	*	*	85725	*	
tueba-s24247-0	nutzen	Der echte Großstadtfreak jedoch nutzt die Stadt umsonst und draußen.	76258	*	*	*	*	76258	76258	76258	76258	*	
tueba-s25237-0	machen	Pastor Bernd Kähler von der nahegelegenen Kirchengemeinde macht den Aberwitz des Umverteilungsverfahrens deutlich:	82751	*	*	*	*	*	*	*	73302	*	
tueba-s25581-1	wählen	Marlis Dürkop wurde gestern zur Präsidentin der Humboldt-Universität gewählt	*	*	*	*	*	75365	*	*	75365	*	
tueba-s25845-0	geben	Auftritt die Punkgruppe HIRN, die neben eigenen Kompositionen ein paar Sex-Pistols-Titel zum besten geben.	*	130716	*	*	*	*	*	*	130717	*	
tueba-s26436-1	machen	Es gehe nicht an, daß in Bonn weiterhin das Wirtschaftsministerium die Gesundheitspolitik mache, und die Zigarettenlobby ihre Interessen durchsetze.	82751	*	*	*	*	*	*	*	78519	*	
tueba-s26883-1	kaufen	Höhnisch bietet man ihnen an, den Verlag zu einem hohen Preis von der Treuhand zu kaufen.	*	*	*	*	*	*	74296	*	74296	*	
tueba-s27253-2	sorgen	Und anders als vor vier Jahren wurde die Räumung begünstigt durch die offenkundige Schwäche der vielen Initiativen, für eine massive Unterstützung der Besetzung zu sorgen.	*	*	*	*	*	77427	*	*	76015	*	
tueba-s27497-1	erreichen	Ihre Fraktion versuche die Streichung von acht Paragraphen, die völlige Neufassung von zwei und die Durchsetzung von 48 Änderungsvorschlägen zu erreichen.	*	*	*	*	*	*	76356	*	76356	*	
tueba-s27557-0	machen	- Die seit 1920 gewachsene enge Verzahnung der bisherigen Berliner Stadtbezirke und die bis zum Mauerabbau 1989 zurückgestaute, nun aber verstärkt einsetzende Ausdehnung Berlins ins Umland machen eher eine Zentralisierung der Verwaltung und eine Vergrößerung des Stadtgebietes erforderlich als das Gegenteil.	87005	*	*	*	*	*	*	*	73302	*	
tueba-s27613-0	machen	Was das Baden in einem See so richtig zum Vergnügen macht, stimmt beim Blick in die neuen Recyclingtonnen eher traurig: Mühelos tastet sich das Auge am unbefleckten Blau der Tonnenwände bis auf den Grund hinab, der nur unwesentlich von einzelnen Pappschächtelchen bedeckt ist.	85607	*	*	*	*	*	82751	*	82751	*	
tueba-s27635-1	finden	Minutenlang irrt man dann zwischen Mozartkugeln und Pralinenschachteln umher, bis der Ort der Enthüllung gefunden ist.	82307	*	*	*	*	*	*	*	82307	*	
tueba-s27843-0	gehören	Zur All Starr Band gehören übrigens neben anderen die nicht gänzlich unbekannten Joe Walsh, Dave Edmunds, Nils Lofgren und Todd Rundgren.	*	*	*	*	*	73590	*	*	73590	*	
tueba-s28570-0	stellen	Der Kongreß stellte sich geschlossen hinter den früheren Schatzmeister der Sozialistischen Partei.	*	80813	*	*	*	*	*	*	75355	*	
tueba-s28898-0	geben	Kabinettskollege Krause beispielsweise gab im` Spiegel` zu Protokoll:	*	73801	*	*	*	*	*	*	130717	*	
tueba-s29705-1	helfen	Vermehrte Konkurrenz, so die Logik, werde helfen, das Angebot für Firmen und Privatpersonen noch weiter zu verbilligen.	*	*	*	*	*	*	*	75955	75955	*	
tueba-s30396-2	nutzen	Der Anwalt arbeite an der» Führungsakademie für innere Angelegenheiten« auf Kuba und erteile Ratschläge, wie die Erfahrungen der DDR im Fall eines politischen Umsturzes in Havanna genutzt werden könnten.	*	*	*	*	*	*	76258	*	76258	*	
tueba-s30809-0	bleiben	Die Frauen in leitenden Positionen blieben vom sozialen Leben im Betrieb ausgeschlossen, stellten die Studentinnen fest.	*	89969	*	*	*	73646	*	*	89969	*	
tueba-s30848-2	leben	Seine dreiköpfige Familie muß bei Lebenshaltungskosten, die ca. zwei Mio. Zloty monatlich betragen, von 700 tausend Zloty' Kuroniowka' leben.	*	*	*	*	*	73313	*	*	85732	*	
tueba-s31364-2	passieren	Und ängstlich ist er geworden, nachdem das mit John passiert war.	*	*	*	*	*	*	*	73392	73392	*	
tueba-s31655-3	bekommen	Der Pragmatismus im Umgang mit ausländischem Kapital, der nun auch in der Verfassung festgeschrieben ist, ist der Versuch, trotz dieser desolaten äußeren Bedingungen zumindest durch den Tourismus und andere lukrative Wirtschaftsbereiche noch ein Mindestmaß an Devisen ins Land zu bekommen.	*	*	*	*	*	75778	*	*	74204	*	
tueba-s32167-2	scheinen	Ob die Sondersitzung jedoch vor dem Kabinettsbeschluß überhaupt stattfinden kann, scheint angesichts der augenblicklichen Parlamentsferien mehr als fraglich.	73621	*	*	*	*	73621	73621	*	73621	*	
tueba-s32241-1	erreichen	Damit wäre zu erreichen, daß Abgeordnete besser' in der, Lebenswelt` verankert' sind als vielmehr, wie Meyer feststellt, heute' nur schwach'.	*	*	*	*	*	81830	*	*	76356	*	
tueba-s32769-1	machen	Die beschreiben halt die Situation, in der sich viele dieser Leute, die diese Musik machen, befinden- etwa in New York oder in Los Angeles.	78519	*	*	*	*	82751	*	*	78519	*	
tueba-s33726-3	sagen	' Wenn man die Leute morgens gleich entläßt, ist denen nicht geholfen und uns nicht', sagt der Sozialarbeiter.	*	78741	*	*	*	*	*	*	78741	*	
tueba-s33868-1	glauben	Die Lehrküche der Stadtwerke am Wall wurde, glaube ich, erst in den Sechzigern aufgegeben.	77245	*	*	*	*	77245	*	77245	77229	*	
tueba-s35103-4	erreichen	Wir können zum Beispiel mit den Hunderttausenden von Unterschriften, die verschiedene Organisationen gesammelt haben, zum Petitionsausschuß des Bundestages gehen und so eine Neuauflage der Minendiskussion erreichen.	*	*	*	*	*	*	80437	*	80437	*	
tueba-s35795-0	schützen	Mit dem Argument, daß geschlossene Anlagen die Bereisten' vor übergreifender ökologischer und vor allem geistig-kultureller Infektion' schützen, nehmen selbst Tourismuskritiker wie Jost Krippendorf, Apologet eines sanften Tourismus, allen weiteren Einwänden gegen das touristische Ghetto den Wind aus den Segeln.	79748	*	*	*	*	*	*	*	76018	*	
tueba-s36045-2	erstellen	Die Leser Robert Musils werden sich an jenen rührigen General Stumm von Bordwehr erinnern, der bei seinem Versuch, das' Grundbuchsblatt der modernen Kultur' zu erstellen, erkennen muß, daß der' mitteleuropäische Ideenvorrat' nicht nur aus lauter Gegensätzen besteht, sondern daß diese Gegensätze' bei genauerer Beschäftigung mit ihnen ineinander überzugehen anfangen'.	*	83160	*	*	*	*	*	*	83160	*	
tueba-s36046-5	betreffen	So ist es denn auch kein Wunder, daß im Zentrum der' Four Essays on Liberty', die zuerst 1969 erschienen sind und jetzt erstmals in deutscher Übersetzung vorliegen, eine systematische und historisch folgenschwere' Begriffsverwirrung' steht, die das Wort' Freiheit' betrifft und die der Ideenhistoriker richtigzustellen beansprucht.	*	76528	*	*	*	*	*	141358	76528	*	
tueba-s36407-1	machen	Der Film ist handwerklich gut gemacht, sein Anspruch ist, Aufmerksamkeit für die Verfolgten zu erregen, doch die Botschaft ist niederschmetternd: Nie ging es der Linken so schlecht wie heute.	78519	*	*	*	*	85607	*	*	82751	*	
tueba-s36929-0	lernen	Sie lernt die gute Miene zum bösen Spiel, er das böse Spiel zur guten Miene', sagt eine Zuschauerin.	*	*	*	*	*	*	77485	*	77485	*	
tueba-s38270-0	machen	Premiere von O'Caseys' Das Ende vom Anfang' im Schauspielhaus: Ein schlecht synchronisiertes Komiker-Paar macht aus dem Zwei-Personen-Repertoire-Hit abgestandenen Slapstick	82751	*	*	*	*	*	*	*	87005	*	
tueba-s38286-0	scheinen	Eigensinnigkeit scheint den Gegenständen zu eigen und der Kampf mit dem Objekt beginnt.	73621	73621	*	*	*	*	73621	*	73621	*	
tueba-s39594-0	bleiben	Die Geiseln, 27 Touristen aus Südkorea und zwei Russen, blieben unverletzt.	89970	*	*	*	*	*	*	*	73680	*	
tueba-s40469-0	machen	Aber was macht Crumb, wenn er auf seinen postkatholischen, nostalgisch-sexistischen Späthippieismus nicht zurückgreifen kann?	75583	*	*	*	*	*	*	*	82751	*	
tueba-s40784-3	bekommen	Damit während dieser Phase der ZuschauerInnenbindung niemand umschaltet, wurde etwas Cleveres erdacht: Wir bekommen die doppelte Dosis verabreicht, bis zum Beginn der Sat.1-Nullzeit Anfang Dezember täglich zwei Folgen.	*	*	*	*	*	74202	*	*	89487	*	
tueba-s41579-1	erzählen	So erstaunt es dann nicht, wenn Herr Karl beiläufig erzählt, daß er- nachdem er seine Frau grün und blau gewürgt hat- in' anner solchenen Situation ma schnöll per du mit an Taxifahrer is'.	*	*	78960	*	*	*	*	*	78960	*	
tueba-s41585-0	geben	Welche Klänge geben dem Hörspiel, welche Bilder dem Film seinen unwiderstehlichen Reiz?	*	130719	*	*	*	*	130719	*	130719	*	
tueba-s42236-0	suchen	4.400 Rechtsexperten suchen einen Job.	82329	*	*	*	*	*	77422	*	77422	*	
tueba-s42850-0	gehören	Tadsch Mahal- Speyerer Dom- Palast der Republik- Notre-Dame: Welcher der genannten Begriffe gehört nicht in diese Reihe?	*	*	73458	*	*	*	*	*	73590	*	
tueba-s43049-0	lernen	Der Diskusfisch, lernt die Laiin, bekam diese attraktiven Farben erst durch die Nachzucht, die unausweichlich Form, Farbe und Gesamtbild kontrolliert.	77485	*	77499	*	*	*	*	*	1	*	
tueba-s43154-1	geben	' Unechte Arbeitslose' sind vor allem die' Drückeberger', von denen es nach Medienberichten Tausende gibt.	*	73264	*	*	*	*	*	*	73264	*	
tueba-s43608-3	machen	Eine Firma für Alarmanlagen aus der englischen Grafschaft Warwickshire hat eine neuartige Abschreckung für Autodiebe entwickelt: Wenn sich jemand am Wagen zu schaffen macht, ertönt die Stimme des rechtsradikalen nordirischen Pfarrers und Politikers Ian Paisley- und zwar in einer Lautstärke von 120 Dezibel.	75583	*	*	*	*	87005	*	73302	87005	*	
tueba-s44458-1	erreichen	Nach seinen Prognosen wird auch die für 1996 avisierte Schuldentilgung in Höhe von 216 Millionen Mark nur erreicht, wenn Bremen in großen Umfang Beteiligungen privatisiert.	*	*	*	*	*	*	*	76356	76356	*	
tueba-s44703-2	beschließen	Für die Rolle des Johannes Elias Alder fühlte sich Eisermann sofort berufen- und Regisseur Vilsmaier gab ihm die Rolle des Bergbauernjungen mit dem überirdischen Gehör, der mit 22 aus Liebesgram beschließt, nicht mehr zu schlafen.	*	*	*	*	*	*	*	78047	78047	*	
tueba-s45208-4	finden	Die Werke, unter anderem von Pablo Picasso und Georges Braque, die im November 1993 aus dem Museum für Moderne Kunst in Stockholm gestohlen worden waren, sind bis heute nicht gefunden worden.	82307	*	*	*	*	*	*	*	82307	*	
tueba-s45717-0	sagen	Was Behrens dazu sage, so Appel wörtlich,' widerspricht auf jeden Fall dem Geist des Koalitionsvertrages'.	*	*	*	*	*	78741	78741	*	78741	*	
tueba-s46241-1	leben	Zumindest an diesem Tag wird diese ökonomisch illusionäre Vision gelebt: Einander wildfremde Männer, vom Obdachlosen bis zum etablierten Anwalt, begrüßen sich wie alte Schulfreunde.	*	*	*	*	*	73265	*	*	73265	*	
tueba-s47025-0	stellen	Und die Weichen dort gestellt werden für Arbeiter- und Warenbewegungen.	*	80813	*	*	*	*	*	*	80813	*	
tueba-s47134-0	beachten	So wie man halt auch beim Tangotanzen eine gewisse Schrittfolge beachten muß.	*	*	*	*	*	*	77646	*	77646	*	
tueba-s47449-1	bleiben	Würden die WBKler bei ihrer Klientelpolitik bleiben, wären sie selbst für einen hartgesottenen Städter mit einem Herz für Kleingärtner wählbar.	89970	*	*	*	*	*	73680	*	89970	*	
tueba-s47968-2	lassen	Sie selbst wolle sich auch gar nicht in die Subkultur-Nische abdrängen lassen.	*	109388	*	*	*	*	*	*	109386	*	
tueba-s49012-0	funktionieren	Und ohne Parteien funktioniert die Politik nun einmal nicht.	*	*	*	*	*	73501	*	*	76753	*	
tueba-s49201-0	helfen	' Aber was hilft 's?', meint die 47jährige Birthler, fängt weiter Vorbeihastende ab oder hört geduldig zu.	*	*	*	*	*	*	*	76251	76251	*	
tueba-s49832-1	geben	Die Frauen heißen Marilyn oder Susan, die Männer Jim, Fred und Jack; es gibt eine dufte Party mit Nasa-Kollegen vor dem Fernseher, Chips, Mondlandung gucken, bei Jim Lovell( Tom Hanks) zu Hause;' son: get a haircut', und später mit der Frau draußen im Garten auf den Liegestühlen, in den Mond kucken:	*	130716	*	*	*	*	73264	*	73264	*	
tueba-s50082-2	brauchen	Ich konnte immer als Schauspieler von meinen Engagements leben und brauchte keine Nebenjobs anzunehmen.	*	77378	*	*	*	*	*	*	85724	*	
tueba-s50279-3	passieren	Nun könnte man sagen, das ist eine wahre Begebenheit, halt so passiert.	*	*	*	*	*	*	*	73392	73392	*	
tueba-s51063-0	benötigen	Zum einen benötige die SPD' eine Reform an Haupt und Gliedern, die zügig umgesetzt werden muß'.	85725	*	*	*	*	*	*	*	85725	*	
tueba-s51312-2	lernen	Natürlich wollte Pasquale eigentlich' nur ein Jahr bleiben', die Sprache lernen(' da bin ich ein Naturltalent') und dann wieder singenderweise in Richtung Sardinien ziehen.	*	*	*	*	*	*	77485	*	77485	*	
tueba-s52209-4	vergessen	Wenn Francoise-Regis Cambuzat Lou Reeds' Afterhours' zu feinem Liebesmehl zerreibt, wenn Klezmer-Fetzen und Chanson-Melodien ihre geistige Nachbarschaft feiern, wenn Flamenco und Nocturne in einem seligen Abgesang auf die Vertreibung der Nachtmahre aus den Gehirnen zu Tränen rühren, dann ist alle Müdigkeit vergessen, und das Herz wächst auf das Doppelte.	77698	*	*	*	*	*	*	77698	77698	*	
tueba-s52376-2	ändern	Auch daß Frauen dabei selber Schaden nehmen, wird daran nichts ändern.	*	84160	*	*	*	*	*	*	84160	*	
tueba-s52796-3	nutzen	Das Londoner Verteidigungsministerium sagte, die Deponie- sie liegt genau unter der Fährstrecke zwischen Nordirland und Schottland- sei wohl schon seit 1920 genutzt worden.	*	*	*	*	*	76258	129218	*	129218	*	
tueba-s53187-1	nutzen	Das Spiel konnte auch in der Innenpolitik gut genutzt werden.	*	*	*	*	*	*	76258	*	76258	*	
tueba-s53809-4	ändern	Aber ich möchte meinen Kindern, wenn sie mich fragen, was hast du gemacht, als das Asylgesetz geändert wurde, nicht erzählen müssen, ich hätte eine lustige Perücke auf dem Kopf gehabt.'	*	84160	*	*	*	*	*	*	83557	*	
tueba-s54112-2	wählen	Während Akademiker am liebsten live mit einer Frau telefonieren, sind es die Nichtakademiker, die die Bandnummern in Übersee wählen und damit nicht nur ihre Telefonrechnung in die Höhe treiben.	*	*	*	*	*	*	*	76433	76433	*	
tueba-s54253-1	beginnen	Die bedenkliche Medienkonzentration soll künftig bei 30 Prozent Anteil am Fernsehmarkt beginnen.	83526	*	*	*	*	83526	*	*	83526	*	
tueba-s54749-0	machen	Mit Gummistiefeln, Handschuhen und blauen Müllsäcken bewaffnet, machen sich Wiedmann und Jähnig daran, Müll und Treibholz einzusammeln.	75583	*	*	*	*	*	*	*	85607	*	
